pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,Error,Expected_result
452734083,AIGER-Real/random_n_19_4_2_13_12_23_abc.aag,9165966,simpleBDDSolver,24326,seqreal1,332129,complete,36.0265,36.0399,92127404,NEW-REALIZABLE,-,unknown
452734087,AIGER-Real/random_n_19_4_2_13_12_95_abc.aag,9165967,simpleBDDSolver,24326,seqreal2,332128,complete,273.105,273.151,92179276,NEW-REALIZABLE,-,unknown
452734088,AIGER-Real/random_n_19_4_2_13_12_95_abc.aag,9165967,simpleBDDSolver,24326,seqreal1,332129,complete,258.833,258.922,92212048,NEW-REALIZABLE,-,unknown
452734092,AIGER-Real/random_n_19_4_2_13_12_60_abc.aag,9165968,simpleBDDSolver,24326,seqreal2,332128,complete,241.213,241.281,92211272,NEW-REALIZABLE,-,unknown
452734093,AIGER-Real/random_n_19_4_2_13_12_60_abc.aag,9165968,simpleBDDSolver,24326,seqreal1,332129,complete,262.613,262.661,92178500,NEW-REALIZABLE,-,unknown
452734097,AIGER-Real/random_n_19_4_2_13_12_43_abc.aag,9165969,simpleBDDSolver,24326,seqreal2,332128,complete,150.75,150.772,92170592,NEW-REALIZABLE,-,unknown
452734098,AIGER-Real/random_n_19_4_2_13_12_43_abc.aag,9165969,simpleBDDSolver,24326,seqreal1,332129,complete,163.87,163.888,92170592,NEW-REALIZABLE,-,unknown
452734102,AIGER-Real/random_n_19_4_2_13_12_3_abc.aag,9165970,simpleBDDSolver,24326,seqreal2,332128,complete,240.568,240.611,92137160,NEW-REALIZABLE,-,unknown
452734103,AIGER-Real/random_n_19_4_2_13_12_3_abc.aag,9165970,simpleBDDSolver,24326,seqreal1,332129,complete,266.164,266.224,92137160,NEW-REALIZABLE,-,unknown
452734107,AIGER-Real/random_n_19_4_2_13_12_89_abc.aag,9165971,simpleBDDSolver,24326,seqreal2,332128,complete,34.7196,34.7327,92103892,NEW-REALIZABLE,-,unknown
452734108,AIGER-Real/random_n_19_4_2_13_12_89_abc.aag,9165971,simpleBDDSolver,24326,seqreal1,332129,complete,33.9816,33.9839,92103892,NEW-REALIZABLE,-,unknown
452734112,AIGER-Real/random_n_19_1_5_13_13_2_abc.aag,9166875,simpleBDDSolver,24326,seqreal2,332128,complete,1361.23,1361.39,92291232,NEW-UNREALIZABLE,-,unknown
452734113,AIGER-Real/random_n_19_1_5_13_13_2_abc.aag,9166875,simpleBDDSolver,24326,seqreal1,332129,complete,1354.67,1354.89,92294396,NEW-UNREALIZABLE,-,unknown
452734117,AIGER-Real/random_n_19_1_2_16_14_8_abc.aag,9166876,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.05,3600.42,92403556,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734118,AIGER-Real/random_n_19_1_2_16_14_8_abc.aag,9166876,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.03,3600.63,92397188,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734122,AIGER-Real/random_n_19_1_2_16_14_4_abc.aag,9166877,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.07,3600.52,92398420,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734123,AIGER-Real/random_n_19_1_2_16_14_4_abc.aag,9166877,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.04,3600.42,92398420,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734127,AIGER-Real/random_n_19_1_4_14_13_13_abc.aag,9166878,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.06,3600.41,92326988,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734128,AIGER-Real/random_n_19_1_4_14_13_13_abc.aag,9166878,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.01,3600.43,92326988,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734132,AIGER-Real/random_n_19_1_4_14_13_17_abc.aag,9166879,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.02,3600.36,92329552,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734133,AIGER-Real/random_n_19_1_4_14_13_17_abc.aag,9166879,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.06,3600.56,92332268,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734137,AIGER-Real/random_n_19_1_3_15_14_1_abc.aag,9166880,simpleBDDSolver,24326,seqreal2,332128,complete,3412.1,3412.41,92349212,NEW-UNREALIZABLE,-,unknown
452734138,AIGER-Real/random_n_19_1_3_15_14_1_abc.aag,9166880,simpleBDDSolver,24326,seqreal1,332129,complete,3524.32,3524.75,92349372,NEW-UNREALIZABLE,-,unknown
452734142,AIGER-Real/random_n_19_1_4_14_13_20_abc.aag,9166881,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.07,3600.42,92331700,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734143,AIGER-Real/random_n_19_1_4_14_13_20_abc.aag,9166881,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.04,3600.47,92331700,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734147,AIGER-Real/random_n_19_1_2_16_14_5_abc.aag,9166882,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.06,3600.46,92362816,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734148,AIGER-Real/random_n_19_1_2_16_14_5_abc.aag,9166882,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.01,3600.42,92363228,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734152,AIGER-Real/random_n_19_1_4_14_13_3_abc.aag,9166883,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.09,3600.5,92334880,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734153,AIGER-Real/random_n_19_1_4_14_13_3_abc.aag,9166883,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.02,3600.41,92334880,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734157,AIGER-Real/random_n_19_1_4_14_13_18_abc.aag,9166884,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.05,3600.42,92329548,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734158,AIGER-Real/random_n_19_1_4_14_13_18_abc.aag,9166884,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.09,3600.52,92329548,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734162,AIGER-Real/random_n_19_1_4_14_13_10_abc.aag,9166885,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.02,3600.42,92323784,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734163,AIGER-Real/random_n_19_1_4_14_13_10_abc.aag,9166885,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.05,3600.43,92324296,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734167,AIGER-Real/random_n_19_1_4_14_13_1_abc.aag,9166886,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.01,3600.42,92332168,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734168,AIGER-Real/random_n_19_1_4_14_13_1_abc.aag,9166886,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.04,3600.4,92332296,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734172,AIGER-Real/random_n_19_1_4_14_13_5_abc.aag,9166887,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.04,3600.52,92333684,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734173,AIGER-Real/random_n_19_1_4_14_13_5_abc.aag,9166887,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.02,3600.49,92333684,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734177,AIGER-Real/random_n_19_1_2_16_14_3_abc.aag,9166888,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.02,3600.41,92391528,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734178,AIGER-Real/random_n_19_1_2_16_14_3_abc.aag,9166888,simpleBDDSolver,24326,seqreal1,332129,timeout (cpu),3600.01,3600.43,92385580,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
452734182,AIGER-Real/random_n_19_1_4_14_13_9_abc.aag,9166889,simpleBDDSolver,24326,seqreal2,332128,timeout (cpu),3600.05,3600.51,92330520,--,Found neither REALIZABLE nor UNREALIZABLE,unknown
